Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 10:17:56.400300,4,Start,,,,,0,0,0,0,0,0
2020-03-11 10:18:07.828900,4,WhiteHole.SinglePlayer.Touch,Blue Player,60.0,80.0,,1,0,0,0,0,0
2020-03-11 10:18:11.338100,4,WhiteHole.SinglePlayer.Trigger,Blue Player,60.0,80.0,,1,0,0,0,0,0
2020-03-11 10:18:11.348100,4,,,,,,0,0,0,0,0,0
2020-03-11 10:18:13.004200,4,Planet.Creation,Red Player,56.0,78.0,5672.0,0,0,0,0,0,0
2020-03-11 10:18:17.046400,4,WhiteHole.SinglePlayer.Touch,Red Player,19.0,60.0,,0,1,0,0,0,0
2020-03-11 10:18:19.279600,4,WhiteHole.SinglePlayer.Exit,Red Player,19.0,60.0,,0,1,0,0,0,0
2020-03-11 10:18:19.289600,4,,,,,,0,0,0,0,0,0
2020-03-11 10:18:29.231100,4,WhiteHole.SinglePlayer.Touch,Blue Player,77.0,40.0,,1,0,0,0,0,0
2020-03-11 10:18:31.363300,4,WhiteHole.SinglePlayer.Exit,Blue Player,77.0,40.0,,1,0,0,0,0,0
2020-03-11 10:18:31.373300,4,,,,,,0,0,0,0,0,0
2020-03-11 10:18:54.249600,4,WhiteHole.SinglePlayer.Touch,Blue Player,19.0,60.0,,1,0,0,0,0,0
2020-03-11 10:18:55.114600,4,WhiteHole.SinglePlayer.Exit,Blue Player,19.0,60.0,,1,0,0,0,0,0
2020-03-11 10:18:55.124600,4,,,,,,0,0,0,0,0,0
2020-03-11 10:18:56.266700,4,WhiteHole.SinglePlayer.Touch,Blue Player,19.0,60.0,,1,0,0,0,0,0
2020-03-11 10:18:57.248700,4,WhiteHole.SinglePlayer.Exit,Blue Player,19.0,60.0,,1,0,0,0,0,0
2020-03-11 10:18:57.258700,4,,,,,,0,0,0,0,0,0
2020-03-11 10:19:14.200700,4,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,38.0,,1,0,0,0,0,0
2020-03-11 10:19:14.766700,4,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,38.0,,1,0,0,0,0,0
2020-03-11 10:19:14.776700,4,,,,,,0,0,0,0,0,0
2020-03-11 10:19:24.151300,4,WhiteHole.SinglePlayer.Touch,Blue Player,27.0,38.0,,1,0,0,0,0,0
2020-03-11 10:19:24.617300,4,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,38.0,,1,0,0,0,0,0
2020-03-11 10:19:24.627300,4,,,,,,0,0,0,0,0,0
2020-03-11 10:19:25.368300,4,WhiteHole.SinglePlayer.Touch,Blue Player,19.0,60.0,,1,0,0,0,0,0
2020-03-11 10:19:27.917500,4,WhiteHole.SinglePlayer.Touch,Red Player,77.0,40.0,,1,1,0,0,0,0
2020-03-11 10:19:28.533500,4,WhiteHole.SinglePlayer.Exit,Blue Player,19.0,60.0,,1,1,0,0,0,0
