Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 09:51:42.522400,2,Start,,,,,0,0,0,0,0,0
2020-03-11 09:51:49.513800,2,WhiteHole.SinglePlayer.Touch,Red Player,56.0,81.0,,0,1,0,0,0,0
2020-03-11 09:51:53.006000,2,WhiteHole.SinglePlayer.Trigger,Red Player,56.0,81.0,,0,1,0,0,0,0
2020-03-11 09:51:53.016000,2,,,,,,0,0,0,0,0,0
2020-03-11 09:52:00.214500,2,WhiteHole.SinglePlayer.Touch,Red Player,83.0,43.0,,0,1,0,0,0,0
2020-03-11 09:52:01.947600,2,WhiteHole.SinglePlayer.Touch,Blue Player,43.0,15.0,,1,1,0,0,0,0
2020-03-11 09:52:02.764600,2,WhiteHole.SinglePlayer.Exit,Red Player,83.0,43.0,,1,1,0,0,0,0
2020-03-11 09:52:02.774600,2,,,,,,1,0,0,0,0,0
2020-03-11 09:52:03.014600,2,WhiteHole.SinglePlayer.Touch,Red Player,83.0,43.0,,1,1,0,0,0,0
2020-03-11 09:52:06.064800,2,WhiteHole.SinglePlayer.Exit,Red Player,83.0,43.0,,1,1,0,0,0,0
2020-03-11 09:52:06.074800,2,,,,,,1,0,0,0,0,0
2020-03-11 09:52:06.522800,2,WhiteHole.SinglePlayer.Trigger,Blue Player,43.0,15.0,,1,0,0,0,0,0
2020-03-11 09:52:06.532800,2,,,,,,0,0,0,0,0,0
2020-03-11 09:52:08.640900,2,Planet.Creation,Red Player,71.0,50.0,5946.0,0,0,0,0,0,0
2020-03-11 09:52:12.465200,2,WhiteHole.SinglePlayer.Touch,Red Player,83.0,43.0,,0,1,0,0,0,0
2020-03-11 09:52:13.315200,2,WhiteHole.SinglePlayer.Touch,Blue Player,15.0,56.0,,1,1,0,0,0,0
2020-03-11 09:52:14.715300,2,WhiteHole.SinglePlayer.Exit,Blue Player,15.0,56.0,,1,1,0,0,0,0
2020-03-11 09:52:14.725300,2,,,,,,0,1,0,0,0,0
2020-03-11 09:52:15.082300,2,WhiteHole.SinglePlayer.Touch,Blue Player,15.0,56.0,,1,1,0,0,0,0
2020-03-11 09:52:16.032400,2,WhiteHole.SinglePlayer.Exit,Blue Player,15.0,56.0,,1,1,0,0,0,0
2020-03-11 09:52:16.042400,2,,,,,,0,1,0,0,0,0
2020-03-11 09:52:16.415400,2,WhiteHole.SinglePlayer.Exit,Red Player,83.0,43.0,,0,1,0,0,0,0
2020-03-11 09:52:16.425400,2,,,,,,0,0,0,0,0,0
2020-03-11 09:52:16.757400,2,Planet.SinglePlayer.Connection,Red Player,76.0,46.0,5946.0,0,0,0,1,0,0
