Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id
2020-03-11 09:35:27.639600,1,Start,,,,
2020-03-11 09:35:37.027100,1,WhiteHole.SinglePlayer.Touch,Red Player,86.0,42.0,
2020-03-11 09:35:39.443300,1,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,69.0,
2020-03-11 09:35:40.594300,1,WhiteHole.SinglePlayer.Exit,Red Player,86.0,42.0,
2020-03-11 09:35:42.935500,1,WhiteHole.SinglePlayer.Trigger,Blue Player,54.0,69.0,
2020-03-11 09:35:44.601500,1,Planet.Creation,Red Player,55.0,30.0,5672.0
2020-03-11 09:35:48.443800,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:35:50.593900,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:35:50.859900,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:35:54.160100,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:36:22.845700,1,WhiteHole.SinglePlayer.Touch,Red Player,86.0,42.0,
2020-03-11 09:36:22.879700,1,WhiteHole.SinglePlayer.Exit,Red Player,86.0,42.0,
2020-03-11 09:36:31.897300,1,WhiteHole.SinglePlayer.Touch,Red Player,42.0,14.0,
2020-03-11 09:36:35.387500,1,WhiteHole.SinglePlayer.Trigger,Red Player,42.0,14.0,
2020-03-11 09:36:41.980800,1,WhiteHole.SinglePlayer.Touch,Blue Player,26.0,34.0,
2020-03-11 09:36:45.488000,1,WhiteHole.SinglePlayer.Trigger,Blue Player,26.0,34.0,
2020-03-11 09:36:47.039100,1,Planet.SinglePlayer.Connection,Red Player,57.0,32.0,5672.0
2020-03-11 09:36:47.724200,1,Planet.SinglePlayer.Exit,Red Player,55.0,30.0,5672.0
2020-03-11 09:36:48.931200,1,Planet.Creation,Blue Player,21.0,46.0,6336.0
2020-03-11 09:36:49.115200,1,WhiteHole.SinglePlayer.Touch,Red Player,86.0,42.0,
2020-03-11 09:36:49.398300,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:36:50.715300,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:36:50.915300,1,WhiteHole.SinglePlayer.Exit,Red Player,86.0,42.0,
2020-03-11 09:36:53.749500,1,Planet.Creation,Red Player,48.0,46.0,6388.0
2020-03-11 09:36:58.981800,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:36:59.348800,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:36:59.831800,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:37:02.248000,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:37:03.632100,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:37:04.466100,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:37:04.899100,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:37:06.133200,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:37:06.783200,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:37:08.299300,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:37:10.599500,1,WhiteHole.SinglePlayer.Touch,Blue Player,17.0,56.0,
2020-03-11 09:37:13.266600,1,WhiteHole.SinglePlayer.Exit,Blue Player,17.0,56.0,
2020-03-11 09:37:21.673100,1,Planet.SinglePlayer.Connection,Blue Player,49.0,48.0,6388.0
2020-03-11 09:37:32.707700,1,Planet.SinglePlayer.Exit,Blue Player,52.0,44.0,6336.0
2020-03-11 09:38:08.142800,1,Planet.SinglePlayer.Connection,Red Player,51.0,27.0,5672.0
2020-03-11 09:38:08.369800,1,WhiteHole.SinglePlayer.Touch,Blue Player,75.0,66.0,
2020-03-11 09:38:08.887800,1,WhiteHole.SinglePlayer.Exit,Blue Player,75.0,66.0,
2020-03-11 09:38:08.987800,1,WhiteHole.SinglePlayer.Touch,Blue Player,75.0,66.0,
2020-03-11 09:38:09.010800,1,Planet.SinglePlayer.Exit,Red Player,55.0,30.0,5672.0
2020-03-11 09:38:10.120900,1,WhiteHole.SinglePlayer.Exit,Blue Player,75.0,66.0,
2020-03-11 09:38:10.820900,1,WhiteHole.SinglePlayer.Touch,Blue Player,75.0,66.0,
2020-03-11 09:38:11.253900,1,WhiteHole.SinglePlayer.Exit,Blue Player,75.0,66.0,
2020-03-11 09:38:54.707400,1,WhiteHole.SinglePlayer.Touch,Red Player,66.0,24.0,
2020-03-11 09:38:58.190600,1,WhiteHole.SinglePlayer.Exit,Red Player,66.0,24.0,
