Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id
2020-03-11 11:48:02.242200,10,Start,,,,
2020-03-11 11:48:06.486500,10,WhiteHole.SinglePlayer.Touch,Blue Player,73.0,54.0,
2020-03-11 11:48:07.020500,10,WhiteHole.SinglePlayer.Exit,Blue Player,73.0,54.0,
2020-03-11 11:48:07.569500,10,WhiteHole.SinglePlayer.Touch,Blue Player,73.0,54.0,
2020-03-11 11:48:11.063700,10,WhiteHole.SinglePlayer.Trigger,Blue Player,73.0,54.0,
2020-03-11 11:48:18.453200,10,WhiteHole.SinglePlayer.Touch,Blue Player,43.0,87.0,
2020-03-11 11:48:21.944400,10,WhiteHole.SinglePlayer.Trigger,Blue Player,43.0,87.0,
2020-03-11 11:48:23.437400,10,WhiteHole.SinglePlayer.Touch,Red Player,16.0,43.0,
2020-03-11 11:48:26.929600,10,WhiteHole.SinglePlayer.Trigger,Red Player,16.0,43.0,
2020-03-11 11:48:30.133800,10,Planet.Creation,Blue Player,45.0,53.0,6036.0
2020-03-11 11:48:32.374000,10,Planet.Creation,Red Player,52.0,35.0,6088.0
2020-03-11 11:48:32.377000,10,Planet.Creation,Red Player,150.0,150.0,6154.0
2020-03-11 11:48:38.238300,10,WhiteHole.SinglePlayer.Touch,Red Player,55.0,20.0,
2020-03-11 11:48:39.271400,10,WhiteHole.SinglePlayer.Exit,Red Player,55.0,20.0,
2020-03-11 11:48:40.022400,10,WhiteHole.SinglePlayer.Touch,Red Player,55.0,20.0,
2020-03-11 11:48:40.838400,10,WhiteHole.SinglePlayer.Exit,Red Player,55.0,20.0,
2020-03-11 11:48:42.221500,10,WhiteHole.SinglePlayer.Touch,Blue Player,73.0,54.0,
2020-03-11 11:48:43.146600,10,Planet.SinglePlayer.Connection,Red Player,44.0,42.0,6088.0
2020-03-11 11:48:43.378600,10,Planet.SinglePlayer.Exit,Red Player,49.0,37.0,6088.0
2020-03-11 11:48:44.155600,10,WhiteHole.SinglePlayer.Exit,Blue Player,73.0,54.0,
2020-03-11 11:48:49.923000,10,WhiteHole.SinglePlayer.Touch,Red Player,43.0,87.0,
2020-03-11 11:48:50.656000,10,WhiteHole.SinglePlayer.Exit,Red Player,43.0,87.0,
2020-03-11 11:49:00.739600,10,WhiteHole.SinglePlayer.Touch,Blue Player,73.0,54.0,
2020-03-11 11:49:00.856600,10,WhiteHole.SinglePlayer.Exit,Blue Player,73.0,54.0,
2020-03-11 11:49:01.056600,10,WhiteHole.SinglePlayer.Touch,Blue Player,73.0,54.0,
2020-03-11 11:49:01.172600,10,WhiteHole.SinglePlayer.Exit,Blue Player,73.0,54.0,
2020-03-11 11:49:03.973800,10,WhiteHole.SinglePlayer.Touch,Red Player,55.0,20.0,
2020-03-11 11:49:04.323800,10,WhiteHole.SinglePlayer.Touch,Blue Player,43.0,87.0,
2020-03-11 11:49:07.814000,10,WhiteHole.SinglePlayer.Trigger,Blue Player,43.0,87.0,
2020-03-11 11:49:07.832000,10,WhiteHole.SinglePlayer.Trigger,Red Player,55.0,20.0,
2020-03-11 11:49:07.873000,10,Star.Creation,,49.0,53.0,
2020-03-11 11:49:07.901000,10,Planet.Multiplayer.AddedToOrbit,,55.0,50.0,6036.0
2020-03-11 11:49:32.609400,10,Planet.Multiplayer.AddedToOrbit,,49.0,54.0,6088.0
2020-03-11 11:49:42.543000,10,WhiteHole.SinglePlayer.Touch,Red Player,26.0,66.0,
2020-03-11 11:49:45.193100,10,WhiteHole.SinglePlayer.Exit,Red Player,26.0,66.0,
2020-03-11 11:49:45.243100,10,WhiteHole.SinglePlayer.Touch,Blue Player,73.0,54.0,
2020-03-11 11:49:45.977200,10,WhiteHole.SinglePlayer.Touch,Red Player,16.0,43.0,
2020-03-11 11:49:46.443200,10,WhiteHole.SinglePlayer.Exit,Red Player,16.0,43.0,
2020-03-11 11:49:47.310200,10,WhiteHole.SinglePlayer.Touch,Red Player,16.0,43.0,
2020-03-11 11:49:48.943300,10,WhiteHole.SinglePlayer.Exit,Red Player,16.0,43.0,
